term	family	layer	function	attested	gloss	source	same_object_as
Cheez	Hindustani	form	—	0 files	"(cīz, ""thing"") The khayal composition; the everyday performer's word for a bandish."	Wade, Khyāl (1984), which uses cīz throughout for the khayal composition; Garland 5	Bandish — exact synonym in khayal contexts. The clearest same-object pair in this list.
Gat	Hindustani	form	—	0 files	The fixed instrumental composition, set in a tāla and used as the base for improvisation.	"Grove, ""Gat""; Slawek 1987; Garland 5"	"Bandish / Cheez — the same object in the instrumental register. Second sense, flagged: in tabla, ""gat"" names a composed piece type (gat-tukra), which is a different object from the melodic gat."
Drut	Hindustani	perform	—	0 files	Fast tempo band, roughly double madhya.	"Grove, ""Laya""; Clayton 2000"	Carnatic durita/dṛta kāla. Name collision to record: quality/meter.py lines 35–38 already names Carnatic drutam — but as a tāla anga (a 2-beat group), a different object from Hindustani drut (a tempo 
Madhya laya	Hindustani	perform	—	0 files	Medium tempo band, roughly double vilambit.	"Grove, ""Laya""; Clayton 2000"	Carnatic madhyama kāla — same object, same Sanskrit root. Italian andante/moderato.
Vilambit	Hindustani	perform	—	0 files	Slow tempo band (laya). A tempo is a performance parameter a lyric sheet cannot carry.	"Grove, ""Laya""; Clayton 2000; Garland 5"	"Same object as any tempo term (Italian adagio, Carnatic cauka kāla). But see list (b): ""the vilambit"" is also used metonymically for the slow first composition of a khayal performance, which would be "
Bol-taan	Hindustani	phrase	—	0 files	A taan run on the composition's words rather than on a vowel — the text carried at taan speed.	Wade 1984; van der Meer 1980; Garland 5	A subtype of Taan, distinguished only by what syllables carry it. Related to bol-baant by sharing the text constraint, but bol-baant varies placement at composition tempo and bol-taan runs at speed.
Mohra	Hindustani	phrase	—	0 files	A short cadential figure closing an improvisatory passage and delivering the line back onto sam; in tabla, a brief flourish shorter than a tihai and often introducing one.	Gottlieb 1993; Kippen, The Tabla of Lucknow (1988)	"Nearest repo object is turnaround (""carries the end of one section into the next""), but turnaround is a SECTION function and mohra is sub-section — a wrong-layer near-match, not a same-object. Carnati"
Mukhda	Hindustani	phrase	—	0 files	Classical usage: the short opening phrase of the sthayi, cadencing onto sam — the target the performer returns to at the end of each improvised excursion.	Wade, Khyāl (1984); Clayton, Time in Indian Music (2000); Gottlieb, Solo Tabla Drumming of North India (1993) for the tabla mukhṛā	Conflicts with the repo. The survey in RESULTS_MARK_COVERAGE.md files mukhda under goal, i.e. as a section — that is the film-song/light-music sense (mukhṛā = the opening refrain section). In classica
Paran	Hindustani	phrase	—	0 files	A tukra-type composition built from pakhāwaj bols — heavier, often longer, associated with dhrupad and kathak accompaniment.	Gottlieb 1993; Kippen 1988; Garland 5	Tukra — same object class; the distinction is which drum's bol vocabulary supplies the syllables, not what the unit does.
Sargam	Hindustani	phrase	—	0 files	A passage sung on the note-names sa re ga ma pa dha ni rather than on text or vowel.	"Grove, ""Sargam"", ""Solmization §India""; Garland 5"	The solmization system itself is the same object as Western solfège (do re mi) and the Guidonian syllables — and as Carnatic svara singing / svara kalpana. Two senses in one word (the system; a passag
Taan	Hindustani	phrase	—	0 files	A fast melodic run, normally on the vowel ā, improvised within the section's cycle.	"Grove, ""Tān""; Wade 1984; Jairazbhoy 1971"	Nearest cross-tradition object: the vocal melisma / coloratura run, and the Arab-Andalusian taqsīm figure — but those name vowel-extension generally, while a taan is specifically a scalar/patterned ru
Tukra	Hindustani	phrase	—	0 files	A short fixed-composed tabla piece, typically one to four cycles, conventionally closing with a tihai.	Gottlieb 1993; Kippen 1988	Paran — near-synonym, separated only by bol vocabulary and provenance. See list (b) on the tabla-solo framing.
Bandish ki thumri	Hindustani	process	—	0 files	The older, composition-bound thumri style, governed by the fixed bandish and its bol-baant rather than by line-by-line text elaboration; opposed to bol-banao thumri.	Manuel, Ṭhumrī in Historical and Stylistic Perspectives (1989) — the standard monograph on exactly this distinction; Garland 5	DISTINCT, and it is not a structure term at all — it is a genre label naming which whole-piece logic is in force. No repo layer fits; process is chosen because a genre is a whole-piece logic rather th
Dhun	Hindustani	process	—	0 files	A light-classical instrumental piece built on a folk melody, played to close a recital under relaxed rāg rules.	"Grove, ""Dhun""; Garland 5; Jairazbhoy 1971"	DISTINCT as a term, and again not a section: a dhun is a whole piece, defined by the provenance of its material (folk-derived) and by a licence (rāg rules relaxed). Nearest cross-tradition idea is the
Abhog	Hindustani	section	rear_framing	0 files	The fourth and concluding dhrupad section, settling back toward the lower register; conventionally carries the composer's signature (bhaṇita).	"Śārṅgadeva, Saṅgītaratnākara (13th c.), prabandha adhyāya — ābhoga is one of the four prabandha dhātus (udgrāha, melāpaka, dhruva, ābhoga); Grove, ""Prabandha"", ""Dhrupad""; Garland 5"	"As a section: nearest is the repo's coda (""a closing section with its own material""). Separately and precisely: the bhaṇita signature it carries is the same object as the Persian takhallus and the gha"
Alap	Hindustani	section	front_framing	0 files	The unmetered opening exposition of the rāg, before any tāla enters; no fixed text, sung on vowels or on a-nom-tom-type vocables.	"Grove, ""Ālāp""; Jairazbhoy, The Rāgs of North Indian Music (1971); Garland 5"	"Positionally the repo's intro, but the fit is poor and should be said: an alap routinely outlasts everything after it, so ""framing"" undersells it, and instrumental is the competing function value. Nea"
Antara	Hindustani	section	contrasting	0 files	The second section, taking the melody into the upper tetrachord/tār saptak; contrasts by register, then falls back to the sthayi.	"Grove, ""Dhrupad"", ""Khyāl""; Garland 5; Wade 1984"	"Carnatic anupallavi — same object (the contrasting upper-register second section). Functionally the repo's bridge (""appears once and CONTRASTS""), but NOT the same object: an antara is an expected fixe"
Jhala	Hindustani	section	goal	0 files	The fast strummed climax closing the ālāp complex, driven by rapid chikārī drone strokes between melody notes.	"Grove, ""Jhālā""; Slawek 1987; Garland 5"	DISTINCT as a named object: it is defined by a playing technique (chikārī interpolation) that no other tradition's section name in this repo encodes. Function-wise it is the arrival the alap–jor seque
Jor	Hindustani	section	medial	0 files	The second stage of the instrumental ālāp complex: a steady pulse arrives while the tāla still has not; tempo rises through it.	"Grove, ""Ālāp""; Jairazbhoy 1971; Slawek, Sitar Technique in Nibaddh Forms (1987)"	Nom-tom alap — instrumental name for the same stage.
Laggi	Hindustani	section	rear_framing	0 files	The fast repetitive tabla passage that closes a thumri, dadra or bhajan, accelerating while the singer may repeat a single line over it.	Manuel 1989; Gottlieb 1993; Garland 5	"Closest object in the repo's own SECTION_FUNCTIONS is vamp — ""a repeating figure held open"" — with position fixed to the close, i.e. a vamp that is also an outro. That is a genuine near-identity, not "
Nom-tom alap	Hindustani	section	medial	0 files	The pulsed later stage of the dhrupad ālāp, sung on the non-lexical syllables nom tom ta na ri as a regular pulse emerges without a tāla cycle.	"Grove, ""Dhrupad"" (Widdess); Garland 5"	Same object as Jor below — nom-tom alap is the vocal name and jor the instrumental name for one stage. Separately, the nom-tom syllables are the same object as tabla bols, Carnatic solkattu and Scotti
Sanchari	Hindustani	section	medial	0 files	"The third dhrupad section (""wandering""): traverses the full range, developing material across registers before the close."	"Grove, ""Dhrupad"" (Widdess); Garland 5"	DISTINCT. Its defining property is ambitus traversal — it is named for covering the whole range — and no term in any strophic vocabulary in this repo names that. Nearest by position is Carnatic caraṇa
Sthayi	Hindustani	section	goal	0 files	The first and principal section of a bandish, set in the lower/middle register; the section the performance keeps returning to. Its defining property is return, not first-position.	"Grove Music Online, ""Dhrupad"", ""Khyāl""; Garland 5 (Arnold 1999); Wade, Khyāl (1984)"	The repo's own ~900-term survey, quoted in RESULTS_MARK_COVERAGE.md, already places sthayi in the goal bucket with coro, pallavi, drop, estribillo, mukhda, chorus. Nearest exact: Carnatic pallavi. Not
Llamada	Iberian/Mediterranean	device	(n/a — see §1)	0 files	"""Call"": a 1–2 compás rhythmic-melodic figure by singer, guitarist or dancer that CUES a change — dancer's entry, close of a section, handover. Addressed sideways to co-performers, not to the form."	"Grove, ""Flamenco""; Fernández 2004"	Remate/Cierre (a llamada often is a remate doing cue duty); no repo row — see §1
Bulgar	Iberian/Mediterranean	form	—	"0 — 1 file is a FALSE POSITIVE: ""Bulgarian"" in whitman.txt."	"Fast duple dance of Bessarabian origin; the dominant dance genre of American klezmer after c. 1920 (""cosmopolitan"" repertoire)."	Feldman 2016; Slobin 2000	as Hora
Copla	Iberian/Mediterranean	form	—	0 files	The stanza-form: octosyllabic quatrain, assonance on even lines. Also, separately, the 20th-c. copla andaluza song genre. Copla is the VARYING unit, not the return.	"Grove, ""Spain, §II""; canon_index X99 (romance assonance); standard preceptiva"	"repo quality/schemes.py:656 already names ""copla"" as an alias of the ABCB scheme — a live in-repo row; also Letra, fado Estrofe"
Doina	Iberian/Mediterranean	form	— (front_framing in suite position)	0 files	"Unmetered rubato improvisatory piece, adapted from the Romanian doină; Feldman's ""transitional"" repertoire. Freestanding, but conventionally opens a suite (doina → hora → freylekhs), where it takes a front_framing slot."	"Feldman, Klezmer: Music, History, and Memory (2016); Slobin, Fiddler on the Move (2000); Grove, ""Jewish music, §III"""	Romanian doină (the source, same object); Taqsim/Taximi; Temple/Salida at the function slot only — see §3
Fandango sections	Iberian/Mediterranean	form	—	"0 as a term — 2 files mention the DANCE (""The Spaniards dance fandangoes well""), not the sections."	Not a term of art: a pointer to the fandango's fixed shape — guitar entrada/falseta, then a copla of 4–5 written lines redistributed over 6 sung lines across a descending Andalusian cadence.	"Grove, ""Fandango""; Fernández 2004"	Copla (the text unit inside it); repo FormConvention (a per-tradition expectation set, which is what this is)
Freylekhs	Iberian/Mediterranean	form	—	0 files	The core fast duple-time circle-dance tune-type; the default klezmer dance.	Feldman 2016; Slobin 2000; Beregovski 1982	as Hora (tune-type, not section)
Hora	Iberian/Mediterranean	form	—	"0 — 34 files are FALSE POSITIVES: choral 21, Horace/Horatio/Horatian 14, anchorage 5, anaphora 2, Welsh tymhorau 3. One true hora is Spanish for ""hour"" in a Felicia Hemans footnote on a Cid ballad. Zero klezmer hits."	Klezmer hora (= zhok): slow limping 3/8 dance with the beat on 1 and 3. NOT the Israeli circle hora, a different object under one spelling.	Feldman 2016; Beregovski, Old Jewish Folk Music (ed. Slobin, 1982)	a dance/tune-type, so data/song_functions_eng.tsv's coordinate, not SECTION_FUNCTIONS
Tish-nign	Iberian/Mediterranean	form	—	0 files	"""Table tune"": slow non-dance melody for listening at the wedding meal; from the Hasidic nign sung at the rebbe's tish. Defined by OCCASION, not by shape."	"Feldman 2016; Slobin 2000; Grove, ""Jewish music, §III"""	repo data/song_functions_eng.tsv — this is a song function (occasion/source-type), not a section function. Nearest declared neighbour there is parlour/hymn's coordinate, not any section row.
Zeibekiko cycle	Iberian/Mediterranean	form	—	0 files	The 9/8 (9/4) additive cycle of the zeibekiko dance, grouped 2+2+2+3 / 4+2+3 etc., over which the solo male dance and its song run.	"Grove, ""Rebetika""; Garland vol. 8, Greece; Pennanen 1999"	"repo quality/meter.py:64, which already lists ""the flamenco compases"" as a METER-layer object — same coordinate"
Zogekhts	Iberian/Mediterranean	form	— (front_framing in suite position)	0 files	"< Yid. zogn, ""to say"": rubato quasi-recitative listening piece for the wedding table, close kin of the doina; in Beregovski's instrumental genre classification."	Beregovski 1982; Feldman 2016	Doina (near-identical shape, different occasion); Taqsim at the function slot
Cierre	Iberian/Mediterranean	phrase	—	0 files	"""Closing"": the cadential figure that ends a compás cycle or a section; in practice overlaps remate."	Fernández 2004; standard flamenco pedagogy	Remate; repo turnaround at the wrong scale (turnaround is a section)
Remate	Iberian/Mediterranean	phrase	—	0 files	"""Finishing off"": a short cadential rhythmic-melodic flourish sealing a phrase, a compás cycle or a section. Below section scale."	Fernández 2004; standard flamenco pedagogy	Cierre (near-synonym in practice); repo tag if forced to section scale — but tag is a section and remate is not
Cante chico	Iberian/Mediterranean	process	—	0 files	"The ""little song"": the light/festive class — alegrías, bulerías, tangos, fandangos."	"Rossy 1966; Grove, ""Flamenco""; Mitchell 1994"	as Cante grande
Cante grande	Iberian/Mediterranean	process	—	0 files	"The ""great song"" (≈ cante jondo): the serious/tragic repertoire class — siguiriya, soleá, martinete, tonás. A register, not a span. Division is conventional and contested."	"Rossy 1966; Grove, ""Flamenco""; Mitchell, Flamenco Deep Song (1994) critiques the dichotomy"	repo data/song_functions_eng.tsv coordinate (source-type register), NOT SECTION_FUNCTIONS
Escobilla	Iberian/Mediterranean	section	instrumental (strained)	0 files	"""Little brush"": the footwork span of the baile — the dancer's zapateado over guitar, conventionally accelerating (subida) toward a climax."	"Grove, ""Flamenco""; Garland vol. 8 (Europe), Spain"	repo breakdown+build jointly, both unwitnessed; strains instrumental — see §1
Estribillo	Iberian/Mediterranean	section	goal	0 files	Refrain. In the festive palos (bulerías, tangos, alegrías juguetillos) a returning text+tune between coplas. Polysemous across Spanish genres — see §2.	"Grove, ""Spain, §II""; canon_index X98"	repo burden in the villancico/zéjel sense, repo chorus in the flamenco sense — see §2; already in-repo at quality/canon_index.tsv:526 and quality/relations.py:4065
Estrofe	Iberian/Mediterranean	section	medial	0 files	The sung stanza. A generic Portuguese versification term, not fado-specific — which is itself a finding about how thin fado's own section vocabulary is.	"Standard Portuguese versification; Grove, ""Fado"""	Letra; Copla; repo verse
Falseta	Iberian/Mediterranean	section	instrumental	0 files	A composed-or-improvised guitar melodic passage between letras. A span, not a fill.	"Grove, ""Flamenco""; Fernández 2004"	repo interlude / solo; fado Introdução's instrumental material
Introdução	Iberian/Mediterranean	section	front_framing	0 files	The instrumental opening by guitarra portuguesa + viola before the singer enters. In fado castiço it is drawn from the fado's FIXED accompaniment scheme (fado menor / corrido / mouraria), so its material is prescribed.	"Grove, ""Fado"" (Castelo-Branco); Nery, Para uma História do Fado (2004); Garland vol. 8, Portugal"	repo intro (fits, unusually well — because the material IS fixed); NOT Taqsim/Temple, and that is the point of §3
Letra	Iberian/Mediterranean	section	medial	0 — 1 file is a FALSE POSITIVE: rottletraps in eng_hall_william_barnes.txt (substring).	The sung stanza: the text-carrying span. Returns with new words on the palo's melodic model. The unit a lyric sheet actually holds.	"Grove, ""Flamenco""; Fernández 2004"	"repo SECTION_FUNCTIONS[""verse""]; Copla (the letra IS a copla); fado Estrofe"
Macho	Iberian/Mediterranean	section	rear_framing	0 files	The appended closing letra of a cante — faster, often a change of palo (the cambio of a siguiriya), higher and more climactic. Not a mere close: an arrival that is also the end.	"Grove, ""Flamenco""; Rossy 1966"	repo coda; ambiguous against goal — see §1
Refrão	Iberian/Mediterranean	section	goal	0 files	The returning stanza-group after the estrofe. Present in fado-canção / song-fado; largely ABSENT from fado castiço, which is strophic over a fixed harmonic scheme.	"Grove, ""Fado""; Nery 2004"	repo chorus, not burden — post-strophe position — see §2
Salida	Iberian/Mediterranean	section	front_framing	0 files	"The singer's ""going-out"": the entry vocalisation, non-lexical (ay, lere lere), unmetered or loosely over compás, before the first letra. In the baile, also the dancer's entrance."	"Grove, ""Flamenco""; Fernández, Flamenco Music Theory (2004); Rossy, Teoría del cante jondo (1966)"	Temple (often used interchangeably by cantaores); klezmer Doina and Arabic Taqsim at the FUNCTION slot only — see §3
Taximi	Iberian/Mediterranean	section	front_framing	0 files	Gk. ταξίμι < Tk. taksim: unmetered improvised instrumental prelude on bouzouki/baglamas that exposes the dromos and modulates through it before the metered song. Also freestanding.	"Grove, ""Rebetika"" (Holst-Warhaft); Holst, Road to Rembetika (1975); Pennanen, Westernisation and Modernisation in Greek Popular Music (1999)"	Arabic Taqsim (same word, same object); Doina, Temple/Salida at the function slot — see §3
Temple	Iberian/Mediterranean	section	front_framing	"0 — 80 files are FALSE POSITIVES: English noun temple(s) 162×, surname Temple, titles (""A TEMPLE TO FRIENDSHIP""). No [TEMPLE] mark exists."	"The ""tempering"": melismatic warming of the voice on ay, rubato, setting pitch, tessitura and emotional temperature before text begins. No fixed content."	"Grove, ""Flamenco""; Rossy 1966; Fernández 2004"	Salida; Taximi / Taqsim / Doina / Darāmad at the function slot — see §3
Rebate	Iberian/Mediterranean	unclear	—	0 files	"Lexically ""re-strike / alarm / recoil""; reported in fado practice as an answering or intensifying return figure. I could not verify this in a standard reference and will not guess its layer."	UNCITED	unresolved; if it is an instrumental answer between vocal phrases it is Falseta-shaped, if a re-attack it is Remate-shaped
Kebyar	Indonesian	device	—	0 files	"lit. ""to flare up, burst into flame"" — an explosive accented unison attack in free or irregular rhythm; by extension the name of the ensemble (gong kebyar) and the 20th-c. genre"	Tenzer, Gamelan Gong Kebyar: The Art of Twentieth-Century Balinese Music (2000); Garland vol. 4, Bali	"DISTINCT. Names a SOUND (a texture-and-attack event), and thence an ensemble and a genre — three objects, none of them a span. Where a piece's opening passage is called ""the kebyar"", the span is named"
Bapang	Indonesian	form	—	0 files	a bentuk of the lancaran/ladrang family, used in wayang for the entrance of particular characters. The word ALSO names a coarse strong-male mask character in East Javanese topeng, and gendhing Bapang accompanies him.	standard Javanese bentuk terminology; sense ambiguity (form vs. character-type) not resolved from a named reference here — see list (a)	As Ladrang/Ketawang in the structural sense: a named colotomic cycle, meter.Cycle. The character sense is not a musical-structure object at all.
Gongan	Indonesian	form	—	0 files	the span between two strokes of the great gong: the largest colotomic period. A gongan is not a named span OF a song — every gongan in the piece is one, and sections are COUNTED in gongan.	Martopangrawit (Becker & Feinstein 1984); Garland vol. 4, Java	"SAME as the Hindustani āvartan (one cycle of the tāla, sam to sam) and one usul cycle. In-repo it is exactly meter.Cycle with origin/markers — MISSING.md C-2's own example is colotomic (""the kempul si"
Kenongan	Indonesian	form	—	0 files	the sub-span between two kenong strokes: a nested subdivision of the gongan	Martopangrawit (Becker & Feinstein 1984); Garland vol. 4, Java	"SAME as the Hindustani vibhāg (a clap-marked division of the āvartan). In-repo: meter.Cycle.markers, glossed ""nested periodicities — colotomic, hypermeter"" — the object already exists and already has "
Ketawang	Indonesian	form	—	0 files	a shorter bentuk than ladrang — a gong cycle with its own kenong/kempul placement. Same argument as ladrang.	Garland vol. 4, Java; Becker (1980)	As Ladrang. Also already named in MISSING.md C-2's gamelan-forms list.
Ladrang	Indonesian	form	—	0 files	a bentuk (colotomic form): a gong cycle of fixed length with kenong, kempul and kethuk at declared positions. Names the CYCLE, not any span's role — every gongan of the piece is a ladrang gongan.	Garland vol. 4, Java; Becker, Traditional Music in Modern Java (1980)	SAME KIND of object as a Hindustani tāla, a Turkish usul, an Arabic īqāʿ, a flamenco compás. In-repo: meter.Cycle (groups/labels/markers), and MISSING.md C-2 ALREADY lists ladrang as catalogue DATA fo
Sirep	Indonesian	perform	—	0 files	a sudden drop to soft: the loud bronze drops out, leaving gendèr, gambang, rebab, suling and voice, so the dhalang can be heard in wayang. A dynamic-and-orchestration state entered and left on the drummer's cue.	Sumarsam, Gamelan: Cultural Interaction and Musical Development in Central Java (1995); Garland vol. 4, Java	"SAME EVENT the repo's breakdown names — ""strips the arrangement back"" — but at a different layer: sirep is a dynamic state over unchanged material, not a span. Flagged in list (c); breakdown is one of"
Udhar	Indonesian	perform	—	0 files (1 raw hit, FP)	"lit. ""to untie, release"" — the release out of sirep, full ensemble and volume resumed on cue. Strictly the paired inverse of sirep; it is not a span."	standard Javanese karawitan / wayang terminology (paired with sirep); no single named reference pinned here	DISTINCT as a named object, but SAME KIND as a Western subito tutti / the exit from a breakdown. Its object is the TRANSITION, which no layer in this scheme names — closest honest home is perform, wit
Irama level shift	Indonesian	process	—	0 files (3 raw hits, all FP)	a change of irama: the ratio between the skeletal balungan and the elaborating instruments' subdivision, doubling across lancar → tanggung → dadi → wiled → rangkep. The colotomic frame does NOT move; only density does.	Martopangrawit, Pengetahuan Karawitan (Becker & Feinstein 1984) — the primary treatise on irama; Sutton (1991)	"EXACTLY meter.Density in this repo, already built and already glossed ""A ratio between layers over a FIXED frame — gamelan irama. Deliberately not a Cycle."" Cross-tradition SAME as Carnatic gati/naḍai"
Buka	Indonesian	section	front_framing	0 files (2 raw hits, both FP)	the obligatory metered solo lead-in — rebab, gendèr, bonang or kendhang alone — that declares the pathet and the tempo and ends on the piece's first gong stroke	Martopangrawit, Pengetahuan Karawitan (in Becker & Feinstein, Karawitan: Source Readings in Javanese Gamelan, 1984); Garland vol. 4 (Southeast Asia), Java	SAME as English intro at function level, and as Balinese Kawitan; closest non-repo cousin is the Arabic dūlāb (short metered instrumental prelude stating the mode). DISTINCT from gineman/ālāp: buka is
Gineman	Indonesian	section	front_framing	0 files	a free-rhythm, unmetered prelude improvised by an elaborating instrument (gendèr, rebab, siter, suling) that establishes the pathet before the piece proper	standard Javanese karawitan terminology (with pathetan); Sumarsam (1995) discusses the practice; no page pinned	SAME as the Hindustani ālāp, Arabic taqsīm, Turkish taksim — an unmetered modal prelude that declares the mode. That is a five-member cross-tradition family and none of it is in SECTION_FUNCTIONS; int
Inggah	Indonesian	section	goal	0 files	"lit. ""to ascend"" — the second large section of a gendhing, denser elaboration, faster irama; the piece runs in inggah until it stops and never returns to merong"	Martopangrawit (Becker & Feinstein 1984); Sutton (1991)	SAME as Balinese Pengecet. Function-level neighbour of the goal bucket's members (sthāyī, coro, chorus) BY POSITION only — inggah is a destination, not a returning refrain, and it carries no fixed tex
Kawitan	Indonesian	section	front_framing	0 files	"from wit, ""origin"" — the opening section of a Balinese gendhing, stating melodic material that the later sections take up"	Tenzer (2000); McPhee, Music in Bali (1966); Garland vol. 4, Bali	"SAME as English intro — glossed ""opens the song; may state material that returns later"", which is kawitan's definition. Near-SAME as Javanese Buka; DISTINCT from it in scale (kawitan is a full ensembl"
Merong	Indonesian	section	initiating	0 files	the first and largest main section of a large gendhing, expansive, in slow irama, following the buka and preceding the inggah	Martopangrawit (Becker & Feinstein 1984); Sutton, Traditions of Gamelan Music in Java (1991)	"SAME as Balinese Pengawak — both are ""the slow body, first"". NOT English verse: merong does not return with new words on the same tune, and calling it verse is the BAYT error in MARK_REFUSED verbatim."
Ngelik	Indonesian	section	contrasting	0 files (1 raw hit, FP)	"lit. ""to go high"" — the high-register passage of a ketawang/ladrang, distinct melodic material, normally where the pesindhèn and gérong sing"	Martopangrawit (Becker & Feinstein 1984); Garland vol. 4, Java	SAME as Hindustani antarā (the upper-register contrasting section against sthāyī). Against the repo: needs contrasts + returns together, and the only declared function with that pair is prechorus, whi
Pekaad	Indonesian	section	rear_framing	0 files	"from kaad, ""to leave"" — the closing section, played out as the dancers exit; composed material of its own"	Tenzer (2000); Garland vol. 4, Bali	SAME as English outro/coda — and unlike Javanese Suwuk it DOES have its own material, so pekaad is the better coda match and suwuk is not.
Pengawak	Indonesian	section	initiating	0 files	"from awak, ""body"" — the main slow section on the long metric cycle; the structural core of the gendhing"	Tenzer (2000); McPhee (1966); Garland vol. 4, Bali	SAME as Javanese Merong. NOT English verse, same reason as merong.
Pengecet	Indonesian	section	goal	0 files	the faster, lighter section following the pengawak, where drumming and dance elaboration sit; typically repeated	Tenzer (2000); McPhee (1966); Garland vol. 4, Bali	SAME as Javanese Inggah.
Suwuk	Indonesian	section	rear_framing	0 files	"lit. ""to cease"" — the ending: the drummer cues a slowing over the final kenongan(s) and the piece stops on the last gong (suwuk gropak = the abrupt variant)"	Martopangrawit (Becker & Feinstein 1984); Sutton (1991)	"Function-level SAME as English outro/coda, and as Balinese Pekaad. DISTINCT in substance: suwuk has no material of its own — it is the existing balungan slowed and stopped — where coda is glossed ""a c"
Umpak	Indonesian	section	connective	0 files	"lit. ""pedestal, support"" — the linking passage that carries the piece from one section into the next; umpak inggah is specifically the bridge out of merong into inggah. In kroncong/dangdut the same word names the instrumental link between sung sections."	Martopangrawit (Becker & Feinstein 1984); Garland vol. 4, Java and Indonesian popular music	"SAME as English prechorus (""lifts from verse into chorus"") for the in-piece case and turnaround (""carries the end of one section into the next"") for umpak inggah — the repo declares both and witnesses"
Hayashi (囃子)	Japanese	perform	—	0 files	The percussion-and-flute ensemble: nōkan flute, kotsuzumi, ōtsuzumi, taiko. A named ensemble, not a span.	"Grove ""Japan §II, §VII""; Malm, Japanese Music and Musical Instruments; Garland vol. 7"	≈ Western rhythm section; ≈ a gamelan's colotomic core. ⚠ THE SHARPEST COLLISION ON THIS LIST. NOT the same object as the repo's existing X44 囃子詞 hayashi-kotoba (quality/canon_index.tsv:472, and relat
Honchōshi (本調子)	Japanese	perform	—	0 files	"""Base tuning"": the fundamental shamisen tuning (fourth then fifth), the reference against which the other two are named."	"Malm, Japanese Music and Musical Instruments; Grove ""Shamisen"""	Same object-type as Sansagari and Ni-agari — a closed three-member tuning set. ≈ standard/reference tuning in any scordatura system.
Honte (本手)	Japanese	perform	—	0 files	The principal part in a two-part texture, against kaede/kaete (替手), the decorative secondary part moving roughly two-to-one against it. A voice in the texture, not a span — a lyric sheet cannot carry which of two shamisen you are playing.	Verified: jiuta composers wrote a honte (primary) part and a heterophonic kaede part; Malm, Japanese Music and Musical Instruments (koto/jiuta); Japanese Wiki Corpus, Sokyoku	"≈ Western cantus firmus / principal part against a descant; ≈ any heterophonic principal-vs-variant pairing. ⚠ THE LIST MAY HAVE MIS-GROUPED THIS. Sitting between maebiki and atobiki it reads as ""the "
Ni-agari (二上がり)	Japanese	perform	—	0 files	"""Second raised"": second string raised a whole tone from honchōshi — bright, lively, conventional for dance sections."	"Malm, Japanese Music and Musical Instruments; Grove ""Shamisen"""	Same object-type as Honchōshi / Sansagari. ≈ scordatura / open tuning.
Nokorigaku (残楽)	Japanese	perform	—	0 files	"""Remaining music"": a performance practice in which, over successive repeats, winds and percussion drop out one by one until the sō (koto) is left alone, its part growing more intricate as the texture thins."	"Verified: standard gagaku practice, documented for Etenraku; Grove ""Japan §III""; Garfias, Music of a Thousand Autumns"	"Repo: near-hit on breakdown (""strips the arrangement back"") — same mechanism, wrong scale: breakdown is a section inside a piece, nokorigaku is the realization plan for the whole piece across its repe"
Sansagari (三下がり)	Japanese	perform	—	0 files	"""Three lowered"": shamisen tuning with the third string dropped a whole tone from honchōshi — a plaintive, lyrical colour."	"Malm, Japanese Music and Musical Instruments; Grove ""Shamisen"""	≈ Western scordatura; ≈ guitar DADGAD/open-G; ≈ hardingfele tuning sets. Note worth carrying: in nagauta the tunings index sections by convention (sansagari for kudoki, ni-agari for odoriji). That is 
Jo-ha-kyū (序破急)	Japanese	process	—	0 files (0 for jo-ha-kyu too)	A three-phase accelerating logic governing a whole unit: jo preparation (slow, often unmetered), ha breaking/development, kyū rapid compressed close. Applied recursively at every scale by doctrine, from a five-play programme down to a single step. Not a span: it has no boundaries of its own, only th	"Zeami Motokiyo, Sandō (1423) and Kakyō (1424), trans. Rimer & Yamazaki, On the Art of the Nō Drama; Grove ""Japan §II""; Garland vol. 7 (East Asia), Japan"	Near-identical to Hindustani ālāp–jor–jhālā (unmetered → pulse emerges → fast climax), which is the same accelerative whole-piece trajectory. DISTINCT from sonata form (thematic return, not accelerati
Atobiki (後弾き)	Japanese	section	rear_framing	0 files	"""After-playing"": the instrumental postlude following the last sung passage. The exact mirror of maebiki."	"Parallel formation to the directly-verified maebiki, inside the confirmed maeuta / tegoto / atouta frame of jiuta; Blasdel, Jiuta Sōkyoku; Grove ""Japan"". Weaker than the maebiki citation — see §5(a)."	"≈ Western postlude/outro. Repo: outro (""closes the song and does not recur"")."
Chirashi (散らし)	Japanese	section	goal	0 files	"""Scattering"": the accelerating, freely-developing climactic section before the close; the most active music in the piece."	"Malm, Nagauta; Britannica ""Japanese music: Samisen music"""	= Kyū — chirashi is the kyū phase realized in nagauta form; this is the strongest intra-family identity on the list. ≈ Hindustani jhālā. Strains goal: the goal bucket's members (sthayi, coro, pallavi,
Dangire (段切)	Japanese	section	rear_framing	0 files	"""Section-cut"": the final cadence — in jōruri a formulaic cadential melody closing a dan, in nagauta the closing passage of the piece. Defined by its formula, not by its content."	"Malm, Nagauta; Grove ""Japan §VII""; standard jōruri terminology"	"Repo: tag (""a short repeated fragment closing a section or the song"") is a closer fit than coda (""a closing section with its own material"") — dangire has stock material, not its own. Cross-tradition ≈"
