# Characters data/qieyun_mc.tsv cannot read, and WHY. MISSING.md M-2.
# data/qieyun_mc.tsv itself is NOT modified: the CC0 original stays
# byte-identical and re-derivable, and this file sits beside it.
#
# THE MECHANISM, from the upstream source rather than from inference:
# nk2028/qieyun-data's 韻書/廣韻.csv prints 䰟 as the 字頭 of 小韻 483, whose
# 韻目原貌 is 魂. The rhyme group is NAMED 魂 and 魂 is never a headword in it,
# so 477 characters carry 魂 as their label and the character itself cannot be
# looked up. The extraction is faithful; the rime book is keyed on its own
# orthographic norm and a Song lyric is not.
#
# relation -- and this column is the whole point of the file. A refusal rate
# is uninterpretable until its causes are separated (doctrine 79, one layer
# down from the sonnet battery's):
#   異體  a variant of this character IS in the table. Read `target` instead.
#         An INGESTION defect, and it is now fixed.
#   簡化  a 1956 simplified form. `target` is what it simplifies. NOT mapped:
#         M-2 measured that resolving these silently returns a different
#         word's rhyme wherever the reform merged two Middle Chinese words.
#         A refusal, and its cause is the SCRIPT.
#   後起  no 廣韻 headword and no warranted 異體, but present in the
#         平水韻/詞林正韻 tables. A refusal, and it is CORRECT: the rime book
#         does not contain this graph.
#   混同  the character READS -- it is in the table -- but it doubles as the
#         simplification of `target`, so in a simplified text the reading
#         returned may be a different word's. Not a refusal: a hazard, and
#         the reason OpenCC is not the fix (M-2).
#
# WITNESSES for every 異體 row, and the standard is two:
#   PROPOSER  unicode-org/unihan-database, Unicode License v3 (redistribution
#             granted; this notice is the (b) route). kSemanticVariant,
#             kSpecializedSemanticVariant, kZVariant, read in both directions.
#   FILTER    hulbji/couyun (MIT): the pair must share a (聲, 平水韻部,
#             詞林韻部). This is not "these are the same character" -- it is
#             the predicate the module actually needs (doctrine 60):
#             substituting one for the other CANNOT change the verdict
#             ltc.rhymes gives at 平水韻 or 詞林正韻 granularity, because both
#             sit in the same cell of both standards. At RAW Qieyun
#             granularity it warrants nothing, so readings() marks every
#             substituted reading with `via` and rhyme_keys(standard='qieyun')
#             can be told apart from the two grouped standards.
#   Where Unihan proposes two targets that couyun places in different cells,
#   the row is REFUSED rather than resolved by a tie-break (doctrine 66).
#   The 19 pairs MISSING.md M-2 names are entered FIRST, with their named
#   target, so this file can be read against the register entry that motivated
#   it; 11 of the 19 are also proposed mechanically, and every one of the 19
#   is warranted by couyun.
char	relation	target	target_readings	witnesses
娚	後起			no 廣韻 headword; in couyun 平水韻
娢	後起			no 廣韻 headword; in couyun 平水韻
娤	後起			no 廣韻 headword; in couyun 平水韻
娦	後起			no 廣韻 headword; in couyun 平水韻
娫	後起			no 廣韻 headword; in couyun 平水韻
娮	後起			no 廣韻 headword; in couyun 平水韻
娯	異體	娛	模去|虞平	Unihan+couyun
娰	後起			no 廣韻 headword; in couyun 平水韻
娱	異體	娛	模去|虞平	Unihan+couyun
娲	簡化	媧	佳平|麻平	Unihan kTraditionalVariant
娴	簡化	嫻		Unihan kTraditionalVariant
娹	後起			no 廣韻 headword; in couyun 平水韻
娻	後起			no 廣韻 headword; in couyun 平水韻
娼	後起			no 廣韻 headword; in couyun 平水韻
婀	異體	娿	歌上|歌平	Unihan+couyun
婂	後起			no 廣韻 headword; in couyun 平水韻
婃	後起			no 廣韻 headword; in couyun 平水韻
婅	後起			no 廣韻 headword; in couyun 平水韻
婇	後起			no 廣韻 headword; in couyun 平水韻
婈	後起			no 廣韻 headword; in couyun 平水韻
婊	後起			no 廣韻 headword; in couyun 平水韻
婋	後起			no 廣韻 headword; in couyun 平水韻
婑	後起			no 廣韻 headword; in couyun 平水韻
婒	後起			no 廣韻 headword; in couyun 平水韻
婖	後起			no 廣韻 headword; in couyun 平水韻
婙	後起			no 廣韻 headword; in couyun 平水韻
婛	後起			no 廣韻 headword; in couyun 平水韻
婜	後起			no 廣韻 headword; in couyun 平水韻
婝	後起			no 廣韻 headword; in couyun 平水韻
婡	後起			no 廣韻 headword; in couyun 平水韻
婨	後起			no 廣韻 headword; in couyun 平水韻
婩	後起			no 廣韻 headword; in couyun 平水韻
婫	後起			no 廣韻 headword; in couyun 平水韻
婮	後起			no 廣韻 headword; in couyun 平水韻
婯	後起			no 廣韻 headword; in couyun 平水韻
婰	後起			no 廣韻 headword; in couyun 平水韻
婳	簡化	嫿	耕入	Unihan kTraditionalVariant
婴	簡化	嬰	清平	Unihan kTraditionalVariant
婵	簡化	嬋	仙平	Unihan kTraditionalVariant
婶	簡化	嬸		Unihan kTraditionalVariant
婷	後起			no 廣韻 headword; in couyun 平水韻
婻	後起			no 廣韻 headword; in couyun 平水韻
婾	後起			no 廣韻 headword; in couyun 平水韻
婿	異體	壻	齊去	Unihan+couyun
媂	後起			no 廣韻 headword; in couyun 平水韻
媃	後起			no 廣韻 headword; in couyun 平水韻
媇	後起			no 廣韻 headword; in couyun 平水韻
媈	後起			no 廣韻 headword; in couyun 平水韻
媋	後起			no 廣韻 headword; in couyun 平水韻
媍	異體	婦	尤上	Unihan+couyun
媎	後起			no 廣韻 headword; in couyun 平水韻
媏	後起			no 廣韻 headword; in couyun 平水韻
媑	後起			no 廣韻 headword; in couyun 平水韻
媔	後起			no 廣韻 headword; in couyun 平水韻
媗	後起			no 廣韻 headword; in couyun 平水韻
媘	後起			no 廣韻 headword; in couyun 平水韻
媙	後起			no 廣韻 headword; in couyun 平水韻
媜	後起			no 廣韻 headword; in couyun 平水韻
媝	後起			no 廣韻 headword; in couyun 平水韻
媡	後起			no 廣韻 headword; in couyun 平水韻
媤	後起			no 廣韻 headword; in couyun 平水韻
媩	後起			no 廣韻 headword; in couyun 平水韻
媪	簡化	媼	豪上	Unihan kTraditionalVariant
媭	簡化	嬃	虞平	Unihan kTraditionalVariant
媯	異體	嬀	支平	Unihan+couyun
媳	後起			no 廣韻 headword; in couyun 平水韻
媴	後起			no 廣韻 headword; in couyun 平水韻
媶	後起			no 廣韻 headword; in couyun 平水韻
媹	後起			no 廣韻 headword; in couyun 平水韻
嫀	後起			no 廣韻 headword; in couyun 平水韻
嫃	後起			no 廣韻 headword; in couyun 平水韻
嫅	後起			no 廣韻 headword; in couyun 平水韻
嫆	後起			no 廣韻 headword; in couyun 平水韻
嫊	後起			no 廣韻 headword; in couyun 平水韻
嫍	後起			no 廣韻 headword; in couyun 平水韻
嫎	後起			no 廣韻 headword; in couyun 平水韻
嫏	後起			no 廣韻 headword; in couyun 平水韻
嫐	後起			no 廣韻 headword; in couyun 平水韻
嫒	簡化	嬡		Unihan kTraditionalVariant
嫓	後起			no 廣韻 headword; in couyun 平水韻
嫔	簡化	嬪	眞平	Unihan kTraditionalVariant
嫘	後起			no 廣韻 headword; in couyun 平水韻
嫜	後起			no 廣韻 headword; in couyun 平水韻
嫝	後起			no 廣韻 headword; in couyun 平水韻
嫞	後起			no 廣韻 headword; in couyun 平水韻
嫟	後起			no 廣韻 headword; in couyun 平水韻
嫤	後起			no 廣韻 headword; in couyun 平水韻
嫦	後起			no 廣韻 headword; in couyun 平水韻
嫨	後起			no 廣韻 headword; in couyun 平水韻
嫬	後起			no 廣韻 headword; in couyun 平水韻
嫮	後起			no 廣韻 headword; in couyun 平水韻
嫰	異體	媆	魂去	Unihan+couyun
嫱	簡化	嬙	蒸入|陽平	Unihan kTraditionalVariant
嫶	後起			no 廣韻 headword; in couyun 平水韻
嫹	後起			no 廣韻 headword; in couyun 平水韻
嫻	異體	嫺	山平	Unihan+couyun
嫾	後起			no 廣韻 headword; in couyun 平水韻
嬁	後起			no 廣韻 headword; in couyun 平水韻
嬂	後起			no 廣韻 headword; in couyun 平水韻
嬄	後起			no 廣韻 headword; in couyun 平水韻
嬅	後起			no 廣韻 headword; in couyun 平水韻
嬊	後起			no 廣韻 headword; in couyun 平水韻
嬍	後起			no 廣韻 headword; in couyun 平水韻
嬏	後起			no 廣韻 headword; in couyun 平水韻
嬑	後起			no 廣韻 headword; in couyun 平水韻
嬓	後起			no 廣韻 headword; in couyun 平水韻
嬕	後起			no 廣韻 headword; in couyun 平水韻
嬘	後起			no 廣韻 headword; in couyun 平水韻
嬝	後起			no 廣韻 headword; in couyun 平水韻
嬞	後起			no 廣韻 headword; in couyun 平水韻
嬟	後起			no 廣韻 headword; in couyun 平水韻
嬠	後起			no 廣韻 headword; in couyun 平水韻
嬡	後起			no 廣韻 headword; in couyun 平水韻
嬢	後起			no 廣韻 headword; in couyun 平水韻
嬤	後起			no 廣韻 headword; in couyun 平水韻
嬦	後起			no 廣韻 headword; in couyun 平水韻
嬧	後起			no 廣韻 headword; in couyun 平水韻
嬨	後起			no 廣韻 headword; in couyun 平水韻
嬫	後起			no 廣韻 headword; in couyun 平水韻
嬵	後起			no 廣韻 headword; in couyun 平水韻
嬷	簡化	嬤		Unihan kTraditionalVariant
嬸	後起			no 廣韻 headword; in couyun 平水韻
嬺	後起			no 廣韻 headword; in couyun 平水韻
孄	後起			no 廣韻 headword; in couyun 平水韻
孆	後起			no 廣韻 headword; in couyun 平水韻
孇	後起			no 廣韻 headword; in couyun 平水韻
孊	後起			no 廣韻 headword; in couyun 平水韻
孍	後起			no 廣韻 headword; in couyun 平水韻
孏	後起			no 廣韻 headword; in couyun 平水韻
孓	後起			no 廣韻 headword; in couyun 平水韻
孙	簡化	孙孫		Unihan kTraditionalVariant
孞	後起			no 廣韻 headword; in couyun 平水韻
孢	後起			no 廣韻 headword; in couyun 平水韻
学	簡化	學	江入	Unihan kTraditionalVariant
孪	簡化	孪孿		Unihan kTraditionalVariant
孬	後起			no 廣韻 headword; in couyun 平水韻
孯	後起			no 廣韻 headword; in couyun 平水韻
孲	後起			no 廣韻 headword; in couyun 平水韻
孶	後起			no 廣韻 headword; in couyun 平水韻
孹	後起			no 廣韻 headword; in couyun 平水韻
孻	後起			no 廣韻 headword; in couyun 平水韻
孽	異體	孼	仙入	Unihan+couyun
孾	異體	嬰	清平	Unihan+couyun
孿	後起			no 廣韻 headword; in couyun 平水韻
宁	混同	宁寧		Unihan kTraditionalVariant
宆	後起			no 廣韻 headword; in couyun 平水韻
宊	後起			no 廣韻 headword; in couyun 平水韻
宍	後起			no 廣韻 headword; in couyun 平水韻
宎	後起			no 廣韻 headword; in couyun 平水韻
宑	後起			no 廣韻 headword; in couyun 平水韻
宒	後起			no 廣韻 headword; in couyun 平水韻
宝	異體	寶	豪上	Unihan+couyun
实	簡化	实實		Unihan kTraditionalVariant
実	後起			no 廣韻 headword; in couyun 平水韻
宠	簡化	寵	鍾上	Unihan kTraditionalVariant
审	簡化	審	侵上	Unihan kTraditionalVariant
宨	後起			no 廣韻 headword; in couyun 平水韻
宩	後起			no 廣韻 headword; in couyun 平水韻
宪	簡化	憲	元去	Unihan kTraditionalVariant
宫	簡化	宮	東平	Unihan kTraditionalVariant
宯	後起			no 廣韻 headword; in couyun 平水韻
宱	後起			no 廣韻 headword; in couyun 平水韻
家	混同	傢家		Unihan kTraditionalVariant
宺	後起			no 廣韻 headword; in couyun 平水韻
宻	異體	密	眞入	Unihan+couyun
宼	異體	寇	侯去	Unihan+couyun
宽	簡化	寬	寒平	Unihan kTraditionalVariant
宾	簡化	宾賓		Unihan kTraditionalVariant
寃	異體	冤	元平	Unihan+couyun
寈	後起			no 廣韻 headword; in couyun 平水韻
寉	後起			no 廣韻 headword; in couyun 平水韻
寊	後起			no 廣韻 headword; in couyun 平水韻
寕	後起			no 廣韻 headword; in couyun 平水韻
寗	異體	甯	青去	Unihan+couyun
寙	後起			no 廣韻 headword; in couyun 平水韻
寚	後起			no 廣韻 headword; in couyun 平水韻
寛	後起			no 廣韻 headword; in couyun 平水韻
寜	後起			no 廣韻 headword; in couyun 平水韻
寝	簡化	寢	侵上	Unihan kTraditionalVariant
寠	異體	窶	虞上	Unihan+couyun
寭	後起			no 廣韻 headword; in couyun 平水韻
寲	後起			no 廣韻 headword; in couyun 平水韻
寳	異體	寶	豪上	Unihan+couyun
对	異體	對	灰去	Unihan+couyun
寻	簡化	尋	侵平	Unihan kTraditionalVariant
导	簡化	導	豪去	Unihan kTraditionalVariant
対	後起			no 廣韻 headword; in couyun 平水韻
寿	異體	壽	尤上|尤去	Unihan+couyun
尀	異體	叵	歌上	Unihan+couyun
専	後起			no 廣韻 headword; in couyun 平水韻
尅	異體	剋	登入	Unihan+couyun
将	異體	將	陽去|陽平	Unihan+couyun
尓	後起			no 廣韻 headword; in couyun 平水韻
尔	簡化	尔爾		Unihan kTraditionalVariant
尘	簡化	塵	眞平	Unihan kTraditionalVariant
尙	後起			no 廣韻 headword; in couyun 平水韻
尛	後起			no 廣韻 headword; in couyun 平水韻
尝	簡化	嘗尝		Unihan kTraditionalVariant
尣	後起			no 廣韻 headword; in couyun 平水韻
尦	後起			no 廣韻 headword; in couyun 平水韻
尧	簡化	堯	蕭平	Unihan kTraditionalVariant
尩	後起			no 廣韻 headword; in couyun 平水韻
尫	後起			no 廣韻 headword; in couyun 平水韻
尭	後起			no 廣韻 headword; in couyun 平水韻
尮	後起			no 廣韻 headword; in couyun 平水韻
尴	簡化	尷		Unihan kTraditionalVariant
尶	後起			no 廣韻 headword; in couyun 平水韻
尷	異體	尲	咸平	Unihan+couyun
尸	混同	尸屍		Unihan kTraditionalVariant
尽	異體	盡	眞上	Unihan+couyun
层	簡化	層	登平	Unihan kTraditionalVariant
屃	簡化	屓	脂去	Unihan kTraditionalVariant
屄	後起			no 廣韻 headword; in couyun 平水韻
屇	後起			no 廣韻 headword; in couyun 平水韻
屉	簡化	屜		Unihan kTraditionalVariant
届	異體	屆	皆去	Unihan+couyun
屌	後起			no 廣韻 headword; in couyun 平水韻
屙	後起			no 廣韻 headword; in couyun 平水韻
屛	後起			no 廣韻 headword; in couyun 平水韻
屜	後起			no 廣韻 headword; in couyun 平水韻
属	混同	属屬		Unihan kTraditionalVariant
屡	簡化	屡屢		Unihan kTraditionalVariant
屦	簡化	屨	虞去	Unihan kTraditionalVariant
屪	後起			no 廣韻 headword; in couyun 平水韻
屫	後起			no 廣韻 headword; in couyun 平水韻
屭	後起			no 廣韻 headword; in couyun 平水韻
屳	後起			no 廣韻 headword; in couyun 平水韻
屻	後起			no 廣韻 headword; in couyun 平水韻
屽	後起			no 廣韻 headword; in couyun 平水韻
屿	簡化	嶼	魚上	Unihan kTraditionalVariant
岀	異體	出	眞入|脂去	Unihan+couyun
岁	異體	歲	祭去	Unihan+couyun
岂	簡化	豈	微上	Unihan kTraditionalVariant
岄	後起			no 廣韻 headword; in couyun 平水韻
岅	後起			no 廣韻 headword; in couyun 平水韻
岆	後起			no 廣韻 headword; in couyun 平水韻
岇	後起			no 廣韻 headword; in couyun 平水韻
岊	後起			no 廣韻 headword; in couyun 平水韻
岋	後起			no 廣韻 headword; in couyun 平水韻
岎	後起			no 廣韻 headword; in couyun 平水韻
岒	後起			no 廣韻 headword; in couyun 平水韻
岔	後起			no 廣韻 headword; in couyun 平水韻
岕	後起			no 廣韻 headword; in couyun 平水韻
岖	簡化	嶇	虞平	Unihan kTraditionalVariant
岗	簡化	崗	唐平	Unihan kTraditionalVariant
岘	簡化	峴	先上	Unihan kTraditionalVariant
岚	簡化	嵐	覃平	Unihan kTraditionalVariant
岛	簡化	島	豪上	Unihan kTraditionalVariant
岞	後起			no 廣韻 headword; in couyun 平水韻
岠	後起			no 廣韻 headword; in couyun 平水韻
岤	後起			no 廣韻 headword; in couyun 平水韻
岥	後起			no 廣韻 headword; in couyun 平水韻
岩	異體	巖	銜平	Unihan+couyun
岪	後起			no 廣韻 headword; in couyun 平水韻
岬	後起			no 廣韻 headword; in couyun 平水韻
岭	混同	嶺	清上	Unihan kTraditionalVariant
岮	後起			no 廣韻 headword; in couyun 平水韻
岰	後起			no 廣韻 headword; in couyun 平水韻
岲	後起			no 廣韻 headword; in couyun 平水韻
岴	後起			no 廣韻 headword; in couyun 平水韻
岶	後起			no 廣韻 headword; in couyun 平水韻
岹	後起			no 廣韻 headword; in couyun 平水韻
岺	後起			no 廣韻 headword; in couyun 平水韻
岿	簡化	巋	脂上|脂平	Unihan kTraditionalVariant
峀	後起			no 廣韻 headword; in couyun 平水韻
峃	簡化	嶨	江入	Unihan kTraditionalVariant
峄	簡化	嶧	清入	Unihan kTraditionalVariant
峆	後起			no 廣韻 headword; in couyun 平水韻
峇	後起			no 廣韻 headword; in couyun 平水韻
峈	後起			no 廣韻 headword; in couyun 平水韻
峊	後起			no 廣韻 headword; in couyun 平水韻
峌	後起			no 廣韻 headword; in couyun 平水韻
峍	後起			no 廣韻 headword; in couyun 平水韻
峎	後起			no 廣韻 headword; in couyun 平水韻
峕	後起			no 廣韻 headword; in couyun 平水韻
峖	後起			no 廣韻 headword; in couyun 平水韻
峚	後起			no 廣韻 headword; in couyun 平水韻
峜	後起			no 廣韻 headword; in couyun 平水韻
峝	後起			no 廣韻 headword; in couyun 平水韻
峟	後起			no 廣韻 headword; in couyun 平水韻
峡	簡化	峽	咸入	Unihan kTraditionalVariant
峢	後起			no 廣韻 headword; in couyun 平水韻
峣	簡化	嶢	蕭平	Unihan kTraditionalVariant
峤	簡化	嶠	宵去|宵平	Unihan kTraditionalVariant
峥	簡化	崢	庚平|耕平	Unihan kTraditionalVariant
峦	簡化	峦巒		Unihan kTraditionalVariant
峩	異體	峨	歌平	Unihan+couyun
峪	後起			no 廣韻 headword; in couyun 平水韻
峫	後起			no 廣韻 headword; in couyun 平水韻
峰	異體	峯	鍾平	Unihan+couyun
峲	後起			no 廣韻 headword; in couyun 平水韻
峳	後起			no 廣韻 headword; in couyun 平水韻
峵	後起			no 廣韻 headword; in couyun 平水韻
峷	後起			no 廣韻 headword; in couyun 平水韻
峸	後起			no 廣韻 headword; in couyun 平水韻
峺	後起			no 廣韻 headword; in couyun 平水韻
峼	後起			no 廣韻 headword; in couyun 平水韻
峾	後起			no 廣韻 headword; in couyun 平水韻
崂	簡化	嶗		Unihan kTraditionalVariant
崃	簡化	崍	咍平	Unihan kTraditionalVariant
崄	簡化	嶮	鹽上	Unihan kTraditionalVariant
崉	後起			no 廣韻 headword; in couyun 平水韻
崊	後起			no 廣韻 headword; in couyun 平水韻
崏	後起			no 廣韻 headword; in couyun 平水韻
崑	後起			no 廣韻 headword; in couyun 平水韻
崓	後起			no 廣韻 headword; in couyun 平水韻
崕	後起			no 廣韻 headword; in couyun 平水韻
崙	異體	侖	眞平	Unihan+couyun
崜	後起			no 廣韻 headword; in couyun 平水韻
崡	後起			no 廣韻 headword; in couyun 平水韻
崣	後起			no 廣韻 headword; in couyun 平水韻
崪	異體	崒	眞入|魂入	Unihan+couyun
崫	後起			no 廣韻 headword; in couyun 平水韻
崭	簡化	嶄		Unihan kTraditionalVariant
崮	後起			no 廣韻 headword; in couyun 平水韻
崯	後起			no 廣韻 headword; in couyun 平水韻
崲	後起			no 廣韻 headword; in couyun 平水韻
崸	後起			no 廣韻 headword; in couyun 平水韻
崻	後起			no 廣韻 headword; in couyun 平水韻
崼	後起			no 廣韻 headword; in couyun 平水韻
崾	後起			no 廣韻 headword; in couyun 平水韻
嵂	後起			no 廣韻 headword; in couyun 平水韻
嵄	後起			no 廣韻 headword; in couyun 平水韻
嵅	後起			no 廣韻 headword; in couyun 平水韻
嵆	後起			no 廣韻 headword; in couyun 平水韻
嵉	後起			no 廣韻 headword; in couyun 平水韻
嵏	後起			no 廣韻 headword; in couyun 平水韻
嵓	後起			no 廣韻 headword; in couyun 平水韻
嵗	異體	歲	祭去	Unihan+couyun
嵘	簡化	嶸	庚平|耕平	Unihan kTraditionalVariant
嵚	簡化	嶔	侵平	Unihan kTraditionalVariant
嵝	簡化	嶁	侯上|虞上|虞平	Unihan kTraditionalVariant
嵡	後起			no 廣韻 headword; in couyun 平水韻
嵢	後起			no 廣韻 headword; in couyun 平水韻
嵨	後起			no 廣韻 headword; in couyun 平水韻
嵪	後起			no 廣韻 headword; in couyun 平水韻
嵭	後起			no 廣韻 headword; in couyun 平水韻
嵮	後起			no 廣韻 headword; in couyun 平水韻
嵳	後起			no 廣韻 headword; in couyun 平水韻
嵴	後起			no 廣韻 headword; in couyun 平水韻
嵷	後起			no 廣韻 headword; in couyun 平水韻
嵹	後起			no 廣韻 headword; in couyun 平水韻
嵺	後起			no 廣韻 headword; in couyun 平水韻
嵻	後起			no 廣韻 headword; in couyun 平水韻
嵿	後起			no 廣韻 headword; in couyun 平水韻
嶄	異體	巉	銜上|銜平	Unihan+couyun
嶆	後起			no 廣韻 headword; in couyun 平水韻
嶋	後起			no 廣韻 headword; in couyun 平水韻
嶌	後起			no 廣韻 headword; in couyun 平水韻
嶐	後起			no 廣韻 headword; in couyun 平水韻
嶖	後起			no 廣韻 headword; in couyun 平水韻
嶗	後起			no 廣韻 headword; in couyun 平水韻
嶛	後起			no 廣韻 headword; in couyun 平水韻
嶡	後起			no 廣韻 headword; in couyun 平水韻
嶣	後起			no 廣韻 headword; in couyun 平水韻
嶤	後起			no 廣韻 headword; in couyun 平水韻
嶦	後起			no 廣韻 headword; in couyun 平水韻
嶫	後起			no 廣韻 headword; in couyun 平水韻
嶬	後起			no 廣韻 headword; in couyun 平水韻
嶯	後起			no 廣韻 headword; in couyun 平水韻
嶱	後起			no 廣韻 headword; in couyun 平水韻
嶳	後起			no 廣韻 headword; in couyun 平水韻
嶵	後起			no 廣韻 headword; in couyun 平水韻
嶹	後起			no 廣韻 headword; in couyun 平水韻
巀	後起			no 廣韻 headword; in couyun 平水韻
巄	後起			no 廣韻 headword; in couyun 平水韻
巅	簡化	巔	先平	Unihan kTraditionalVariant
巆	後起			no 廣韻 headword; in couyun 平水韻
巌	後起			no 廣韻 headword; in couyun 平水韻
巏	後起			no 廣韻 headword; in couyun 平水韻
巓	後起			no 廣韻 headword; in couyun 平水韻
巗	後起			no 廣韻 headword; in couyun 平水韻
巙	後起			no 廣韻 headword; in couyun 平水韻
巚	後起			no 廣韻 headword; in couyun 平水韻
巛	異體	川	仙平	Unihan+couyun
巣	後起			no 廣韻 headword; in couyun 平水韻
巩	混同	鞏	鍾上	Unihan kTraditionalVariant
巶	後起			no 廣韻 headword; in couyun 平水韻
巺	後起			no 廣韻 headword; in couyun 平水韻
巻	後起			no 廣韻 headword; in couyun 平水韻
币	簡化	幣	祭去	Unihan kTraditionalVariant
帄	後起			no 廣韻 headword; in couyun 平水韻
帅	簡化	帥	眞入|脂去	Unihan kTraditionalVariant
师	簡化	师師		Unihan kTraditionalVariant
帉	後起			no 廣韻 headword; in couyun 平水韻
帎	後起			no 廣韻 headword; in couyun 平水韻
帏	簡化	幃	微平	Unihan kTraditionalVariant
帐	簡化	帳	陽去	Unihan kTraditionalVariant
帘	混同	帘簾		Unihan kTraditionalVariant
帜	簡化	幟	之去	Unihan kTraditionalVariant
帠	後起			no 廣韻 headword; in couyun 平水韻
帡	後起			no 廣韻 headword; in couyun 平水韻
带	簡化	帶	泰去	Unihan kTraditionalVariant
帧	簡化	幀		Unihan kTraditionalVariant
帮	異體	幫	唐平	Unihan+couyun
帯	後起			no 廣韻 headword; in couyun 平水韻
帰	後起			no 廣韻 headword; in couyun 平水韻
帱	簡化	幬	尤平|豪去	Unihan kTraditionalVariant
帲	後起			no 廣韻 headword; in couyun 平水韻
帻	簡化	幘	耕入	Unihan kTraditionalVariant
帼	簡化	幗	灰去|耕入	Unihan kTraditionalVariant
幀	後起			no 廣韻 headword; in couyun 平水韻
幁	後起			no 廣韻 headword; in couyun 平水韻
幂	簡化	冪幂		Unihan kTraditionalVariant
幆	後起			no 廣韻 headword; in couyun 平水韻
幇	異體	幫	唐平	Unihan+couyun
幈	後起			no 廣韻 headword; in couyun 平水韻
幊	後起			no 廣韻 headword; in couyun 平水韻
幓	後起			no 廣韻 headword; in couyun 平水韻
幙	異體	幕	唐入	Unihan+couyun
幚	後起			no 廣韻 headword; in couyun 平水韻
幛	後起			no 廣韻 headword; in couyun 平水韻
幜	後起			no 廣韻 headword; in couyun 平水韻
幩	後起			no 廣韻 headword; in couyun 平水韻
干	混同	乾干幹		Unihan kTraditionalVariant
并	混同	並併并		Unihan kTraditionalVariant
幷	異體	並	青上	Unihan+couyun
广	混同	广廣		Unihan kTraditionalVariant
庂	後起			no 廣韻 headword; in couyun 平水韻
広	後起			no 廣韻 headword; in couyun 平水韻
庄	混同	庄莊		Unihan kTraditionalVariant
庅	異體	麼	歌上	Unihan+couyun
庆	簡化	慶	庚去	Unihan kTraditionalVariant
庍	後起			no 廣韻 headword; in couyun 平水韻
庎	後起			no 廣韻 headword; in couyun 平水韻
庐	簡化	庐廬		Unihan kTraditionalVariant
庑	簡化	廡	虞上	Unihan kTraditionalVariant
庒	後起			no 廣韻 headword; in couyun 平水韻
库	簡化	庫	模去	Unihan kTraditionalVariant
应	簡化	应應		Unihan kTraditionalVariant
庙	異體	廟	宵去	Unihan+couyun
庝	後起			no 廣韻 headword; in couyun 平水韻
庞	簡化	龐	江平	Unihan kTraditionalVariant
废	簡化	廢	廢去	Unihan kTraditionalVariant
庡	後起			no 廣韻 headword; in couyun 平水韻
庬	異體	厖	江平	Unihan+couyun
庹	後起			no 廣韻 headword; in couyun 平水韻
庺	後起			no 廣韻 headword; in couyun 平水韻
庻	後起			no 廣韻 headword; in couyun 平水韻
庼	簡化	廎		Unihan kTraditionalVariant
廀	異體	廋	侯上|尤平	Unihan+couyun
廃	後起			no 廣韻 headword; in couyun 平水韻
廄	後起			no 廣韻 headword; in couyun 平水韻
廎	後起			no 廣韻 headword; in couyun 平水韻
廐	後起			no 廣韻 headword; in couyun 平水韻
廒	後起			no 廣韻 headword; in couyun 平水韻
廗	後起			no 廣韻 headword; in couyun 平水韻
廪	簡化	廩	侵上	Unihan kTraditionalVariant
廫	後起			no 廣韻 headword; in couyun 平水韻
廰	後起			no 廣韻 headword; in couyun 平水韻
廵	異體	巡	眞平	Unihan+couyun
廸	異體	迪	青入	Unihan+couyun
廹	異體	迫	庚入	Unihan+couyun
廻	異體	回	灰平	Unihan+couyun
廼	異體	乃	咍上	Unihan+couyun
廽	後起			no 廣韻 headword; in couyun 平水韻
开	簡化	开開		Unihan kTraditionalVariant
异	混同	異	之去	Unihan kTraditionalVariant
弃	混同	弃棄		Unihan kTraditionalVariant
弉	後起			no 廣韻 headword; in couyun 平水韻
弐	後起			no 廣韻 headword; in couyun 平水韻
弑	混同	弒		Unihan kTraditionalVariant
弒	後起			no 廣韻 headword; in couyun 平水韻
弖	後起			no 廣韻 headword; in couyun 平水韻
弙	後起			no 廣韻 headword; in couyun 平水韻
弚	後起			no 廣韻 headword; in couyun 平水韻
张	簡化	張	陽去|陽平	Unihan kTraditionalVariant
弡	後起			no 廣韻 headword; in couyun 平水韻
弥	簡化	彌瀰		Unihan kTraditionalVariant
弫	後起			no 廣韻 headword; in couyun 平水韻
弯	簡化	弯彎		Unihan kTraditionalVariant
弹	簡化	弹彈		Unihan kTraditionalVariant
强	簡化	強强		Unihan kTraditionalVariant
弻	後起			no 廣韻 headword; in couyun 平水韻
弾	後起			no 廣韻 headword; in couyun 平水韻
弿	後起			no 廣韻 headword; in couyun 平水韻
彂	後起			no 廣韻 headword; in couyun 平水韻
彑	異體	彐	祭去	Unihan+couyun
归	異體	歸	微平	Unihan+couyun
当	異體	當	唐去|唐平	Unihan+couyun
录	簡化	錄録		Unihan kTraditionalVariant
彚	後起			no 廣韻 headword; in couyun 平水韻
彛	後起			no 廣韻 headword; in couyun 平水韻
彜	後起			no 廣韻 headword; in couyun 平水韻
彝	混同	彞		Unihan kTraditionalVariant
彞	後起			no 廣韻 headword; in couyun 平水韻
彦	簡化	彥彦		Unihan kTraditionalVariant
彨	簡化	彲	支平	Unihan kTraditionalVariant
彮	後起			no 廣韻 headword; in couyun 平水韻
彵	後起			no 廣韻 headword; in couyun 平水韻
彻	簡化	徹	仙入	Unihan kTraditionalVariant
征	混同	征徵		Unihan kTraditionalVariant
